Years at Company,Performance Rating,Number of Promotions,Overtime,Education Level,Number of Dependents,Job Level,Company Size,Company Tenure,Remote Work,Company Reputation,Attrition,OverallSatisfaction,Opportunities,AnnualIncome,AgeGroup,RoleStagnationRatio,TenureGap,EarlyCompanyTenureRisk,LongTenureLowRoleRisk
1.58,3,2,0,4,0,2,2,7.42,0,4,0,3,0,0,2,0.188,5.84,1,1
0.33,1,3,0,3,3,2,2,1.75,0,2,0,2,0,0,4,0.12,1.42,1,0
0.83,1,0,0,2,3,2,2,6.17,0,1,0,2,0,0,1,0.116,5.34,1,1
0.58,4,1,0,1,2,2,1,4.17,1,3,0,3,0,0,3,0.112,3.59,1,0
3.42,3,0,1,1,0,3,2,5.67,0,2,0,3,0,0,4,0.513,2.25,0,0
0.25,2,3,0,2,0,2,2,3.92,0,2,1,3,1,0,3,0.051,3.67,1,0
1.92,4,1,1,1,3,1,1,7.75,0,3,1,2,0,0,4,0.219,5.83,1,1
1.33,4,2,0,3,4,1,2,7.33,0,4,0,3,0,0,4,0.16,6.0,1,1
3.67,4,1,1,1,4,1,2,6.25,0,2,0,2,0,0,4,0.506,2.58,0,1
0.08,3,1,1,5,4,1,3,3.75,0,3,1,2,1,0,1,0.017,3.67,1,0
1.0,3,1,0,1,1,1,1,1.42,0,3,1,3,0,0,2,0.413,0.41999999999999993,1,0
0.5,1,2,0,3,0,2,2,3.17,0,1,1,2,0,0,2,0.12,2.67,1,0
3.17,4,1,0,4,0,1,1,5.67,0,3,1,2,0,0,4,0.475,2.5,0,1
1.83,4,4,1,4,2,2,1,7.0,0,3,0,2,0,0,2,0.229,5.17,1,1
2.5,3,0,0,1,0,3,3,8.0,0,3,0,3,0,0,3,0.278,5.5,0,0
0.33,3,0,0,1,0,1,1,1.75,1,3,1,2,0,0,3,0.12,1.42,1,0
0.75,3,2,1,1,3,2,1,5.25,0,2,1,3,0,0,1,0.12,4.5,1,1
0.08,2,1,1,1,0,2,1,1.58,0,3,0,2,0,0,2,0.031,1.5,1,0
3.08,4,2,0,2,4,3,2,5.83,0,3,0,3,0,0,4,0.451,2.75,0,0
0.75,3,0,0,2,0,3,1,6.33,0,3,0,2,0,0,2,0.102,5.58,1,0
3.42,3,2,1,3,3,2,1,6.0,0,3,0,3,0,0,4,0.489,2.58,0,1
2.75,3,0,0,5,1,2,2,7.92,0,2,0,3,0,0,4,0.308,5.17,0,1
0.08,4,1,0,3,0,1,2,1.67,0,1,1,3,0,0,3,0.03,1.5899999999999999,1,0
1.08,3,0,0,1,1,2,2,3.33,0,3,1,3,0,0,3,0.249,2.25,1,0
0.42,3,0,1,1,0,2,2,5.0,0,3,1,2,0,0,4,0.07,4.58,1,0
0.75,3,1,0,4,0,1,2,1.92,0,3,1,2,1,0,4,0.257,1.17,1,0
1.08,4,0,0,1,1,2,2,6.92,0,3,0,2,1,0,1,0.136,5.84,1,1
1.75,3,1,1,4,1,1,1,5.58,1,2,0,3,0,0,3,0.266,3.83,1,1
